name,platform,r-date,score,user score,developer,genre,players,critics,users
Torchlight II,Switch,"September 3, 2019",81,8.4,PanicButton,"Role-Playing,Action RPG",Up to 4 ,24,54
Hunt: Showdown,PC,"August 27, 2019",81,7.2,Crytek,"Sci-Fi,Third-Person,Arcade,Action,Shooter,First-Person,Tactical",Up to 10 ,23,337
The Gardens Between,XboxOne,"November 29, 2018",81,7.0,TheVoxelAgents,"Adventure,General",No Online Multiplayer,7,34
Madden NFL 19,XboxOne,"August 10, 2018",81,2.9,EATiburon,"Sports,Team,Football,Sim",Up to 6 ,21,102
Reigns: Her Majesty,PC,"December 6, 2017",81,7.4,Nerial,"Simulation,General",No Online Multiplayer,13,25
Children of Zodiarcs,PlayStation4,"July 18, 2017",81,5.8,CardboardUtopia,"Role-Playing,Japanese-Style",No Online Multiplayer,8,18
Little Nightmares,PC,"April 28, 2017",81,8.0,TarsierStudios,"General,Action Adventure,Linear",No Online Multiplayer,29,476
Shantae: Half-Genie Hero,PlayStation4,"December 20, 2016",81,7.5,WayForward,"Action,Platformer,Platformer,2D,2D",No Online Multiplayer,28,105
Watch Dogs 2,XboxOne,"November 15, 2016",81,7.3,UbisoftMontreal,"Action Adventure,Open-World",Up to 4 ,11,330
Zombie Night Terror,PC,"July 20, 2016",81,7.9,NoClip,"Puzzle,Action",No Online Multiplayer,21,39
Victoria II: Heart of Darkness,PC,"April 16, 2013",81,8.7,ParadoxDevelopmentStudio,"Strategy,Real-Time,Historic,General",No info,7,71
Terraria,PlayStation3,"March 26, 2013",81,8.1,EngineSoftware,"Action,Action Adventure,Platformer,Platformer,Sandbox,2D,2D",Up to 8 ,12,79
Borderlands 2: Captain Scarlett and Her Pirate's Booty,Xbox360,"October 16, 2012",81,7.6,GearboxSoftware,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade",No info,13,59
Waveform,PC,"March 20, 2012",81,7.2,EdenIndustries,"Puzzle,Action,General,General",No info,8,46
Bit.Trip Flux,Wii,"February 28, 2011",81,7.7,GaijinGames,"Action,Miscellaneous,Rhythm,Music,Music",1-2 ,15,7
Fallout 3: Broken Steel,PlayStation3,"September 24, 2009",81,7.8,BethesdaGameStudios,"Role-Playing,First-Person,First-Person,General,Western-Style",1 Player,7,29
Personal Trainer: Cooking,DS,"November 24, 2008",81,8.2,indieszero,"Miscellaneous,General,General",1 Player,12,12
Tiger Woods PGA Tour 08,DS,"August 28, 2007",81,7.6,ExientEntertainment,"Sports,Traditional,Individual,Golf,Sim,Sim",2  Online,10,8
NBA Street Homecourt,PlayStation3,"March 6, 2007",81,6.2,EACanada,"Sports,Traditional,Team,Basketball,Arcade,Arcade",2  Online,31,17
The Elder Scrolls IV: Knights of the Nine,PC,"November 21, 2006",81,7.3,BethesdaSoftworks,"Role-Playing,First-Person,First-Person,Western-Style",1 Player,12,118
Red Orchestra: Ostfront 41-45,PC,"March 14, 2006",81,8.6,TripwireInteractive,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",32  Online,22,1297
SSX On Tour,Xbox,"October 11, 2005",81,8.1,EACanada,"Sports,Alternative,Snowboarding",1-2 ,35,13
Hot Shots Golf: Open Tee,PSP,"May 3, 2005",81,8.5,ClapHanz,"Sports,Traditional,Individual,Golf,Arcade,Arcade",1-8 ,57,36
Kingdom Under Fire: The Crusaders,Xbox,"October 12, 2004",81,8.2,Phantagram,"Strategy,Real-Time,Fantasy",2  Online,50,38
The Sims Bustin' Out,Xbox,"December 15, 2003",81,8.1,Maxis,"Miscellaneous,Virtual Life",1-2 ,26,17
The Simpsons: Hit & Run,Xbox,"September 16, 2003",81,8.5,RadicalEntertainment,"Driving,Mission-based",1-4 ,30,50
Karnaaj Rally,GameBoyAdvance,"January 2, 2003",81,7.0,"InfiniteDreams,Paragon5","Driving,Car Combat",1-4 ,9,4
Stronghold,PC,"October 21, 2001",81,8.9,FireFlyStudios,"Strategy,Real-Time,Historic,General,Historic",1-8 ,19,362
Star Fox 64 3D,3DS,"September 9, 2011",81,8.1,Nintendo,"Action,Shooter,Shooter,Rail,Rail",4  Online,65,269
Yoshi's Island DS,DS,"November 13, 2006",81,7.4,Artoon,"Action,Platformer,Platformer,2D,2D",1 Player,42,94
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,"November 21, 2006",81,8.7,ZipperInteractive,"Action,Shooter,Shooter,Third-Person,Tactical,Modern,Modern",Up to 16 ,31,49
Life is Strange 2: Episode 1 - Roads,PlayStation4,"September 27, 2018",81,6.3,DONTNODEntertainment,"Action Adventure,General",No Online Multiplayer,38,165
Freedom Fighters,PlayStation2,"October 1, 2003",81,8.2,IoInteractive,"Action,Shooter,Third-Person,Tactical,Modern",1-4 ,26,70
Phoenix Wright: Ace Attorney - Spirit of Justice,3DS,"September 8, 2016",81,8.3,Capcom,"Adventure,Visual Novel",No Online Multiplayer,65,126
